"model","BIC","AIC","logLik","hitRate"
"sensit",109.889994416141,104.679654044165,-50.3398270220823,0.77
"resCri",107.518561877108,102.308221505132,-49.1541107525661,0.79
"f",105.408825106143,100.198484734166,-48.0992423670832,0.81
"mc",115.179955973578,109.969615601601,-52.9848078008007,0.8
"sensit + resCri",109.57164825774,101.756137699775,-47.8780688498877,0.81
"sensit + f",109.987394460358,102.171883902394,-48.0859419511968,0.81
"sensit + mc",112.795973080742,104.980462522778,-49.490231261389,0.81
"resCri + f",109.985258876364,102.1697483184,-48.0848741592,0.81
"resCri + mc",112.057680626115,104.242170068151,-49.1210850340755,0.8
"f + mc",109.992031361756,102.176520803792,-48.0882604018959,0.81
"sensit * resCri",114.004153455343,103.583472711391,-47.7917363556954,0.81
"sensit * f",113.304649514571,102.883968770618,-47.4419843853092,0.81
"sensit * mc",113.879890761441,103.459210017489,-47.7296050087444,0.79
"resCri * f",114.283539697179,103.862858953226,-47.9314294766132,0.81
"resCri * mc",114.807120841145,104.386440097193,-48.1932200485966,0.81
"f * mc",114.403026319619,103.982345575667,-47.9911727878334,0.81
"sensit + resCri + f",114.111897173879,103.691216429927,-47.8456082149635,0.81
"sensit + resCri + mc",114.136271509426,103.715590765473,-47.8577953827367,0.81
"sensit + f + mc",114.55183082515,104.131150081197,-48.0655750405986,0.82
"resCri + f + mc",114.577097762296,104.156417018343,-48.0782085091717,0.81
"sensit * resCri * f",121.777461497933,100.936100010028,-42.468050005014,0.85
"sensit * resCri * mc",114.608209423344,93.7668479354394,-38.8834239677197,0.84
"sensit * f * mc",112.325613218484,91.4842517305796,-37.7421258652898,0.84
"resCri * f * mc",120.527925338374,99.686563850469,-41.8432819252345,0.84
"sensit + resCri + f + mc",118.650966177172,105.625115247231,-47.8125576236157,0.81
"sensit * resCri * f * mc",140.746399865549,99.0636768897395,-33.5318384448698,0.86
