"","mc","theta","eta","sensit","resCri","h","f","R1_TTchase","R1_TTmirror","R0_TTchase","R0_TTmirror","part"
"1",48,75,0.75,0.587107290651255,0.230846867382413,0.525,0.3,42,24,38,56,"48_75_0.75"
"2",54,75,0.75,0.529365049853657,0.296020506948255,0.4875,0.2875,39,23,41,57,"54_75_0.75"
"3",36,90,0.75,0.516468968113093,-0.195527706113333,0.675,0.475,54,38,26,42,"36_90_0.75"
"4",42,90,0.75,0.457438429093243,-0.260057196568048,0.6875,0.5125,55,41,25,39,"42_90_0.75"
"5",48,90,0.75,0.507757790237168,-0.0647604688457914,0.625,0.425,50,34,30,46,"48_90_0.75"
"6",54,90,0.75,0.907524380339759,-5.55111512312578e-17,0.675,0.325,54,26,26,54,"54_90_0.75"
"7",60,90,0.75,0.91248737681024,0.104459343469964,0.6375,0.2875,51,23,29,57,"60_90_0.75"
"8",66,90,0.75,0.840028787135262,0.294353046712557,0.55,0.2375,44,19,36,61,"66_90_0.75"
"9",72,90,0.75,0.493062530686614,0.277869247364734,0.4875,0.3,39,24,41,56,"72_90_0.75"
"10",78,90,0.75,0.311919251161313,0.441800500461822,0.3875,0.275,31,22,49,58,"78_90_0.75"
"11",48,105,0.75,0.555738494729467,-0.246531265343307,0.7,0.4875,56,39,24,41,"48_105_0.75"
"12",54,105,0.75,0.739603065051045,-0.083960657644357,0.675,0.3875,54,31,26,49,"54_105_0.75"
"13",60,105,0.75,0.572903057932727,-0.0653328159687928,0.6375,0.4125,51,33,29,47,"60_105_0.75"
"14",66,105,0.75,0.807415775079045,-0.0850685235751471,0.6875,0.375,55,30,25,50,"66_105_0.75"
"15",72,105,0.75,0.703959830371943,0.0333405512215962,0.625,0.35,50,28,30,52,"72_105_0.75"
"16",78,105,0.75,0.503622711718942,0.345948770183007,0.4625,0.275,37,22,43,58,"78_105_0.75"
"17",84,105,0.75,0.461020337144388,0.483857271707994,0.4,0.2375,32,19,48,61,"84_105_0.75"
"18",90,105,0.75,0.395728076315812,0.516503402122281,0.375,0.2375,30,19,50,61,"90_105_0.75"
"19",54,120,0.75,0.674489750196082,-0.337244875098041,0.75,0.5,60,40,20,40,"54_120_0.75"
"20",60,120,0.75,0.745519225705611,-0.151640899855235,0.7,0.4125,56,33,24,47,"60_120_0.75"
"21",66,120,0.75,0.879342395839459,-0.121031833955354,0.7125,0.375,57,30,23,50,"66_120_0.75"
"22",72,120,0.75,0.909720979115608,0.0695400231502366,0.65,0.3,52,24,28,56,"72_120_0.75"
"23",78,120,0.75,0.90348586655298,0.262624507003697,0.575,0.2375,46,19,34,61,"78_120_0.75"
"24",84,120,0.75,0.677894837387462,0.149828992420939,0.575,0.3125,46,25,34,55,"84_120_0.75"
"25",90,120,0.75,0.723421472897553,0.236049389593702,0.55,0.275,44,22,36,58,"90_120_0.75"
"26",60,135,0.75,0.403392347264913,-0.359006858242627,0.7125,0.5625,57,45,23,35,"60_135_0.75"
"27",66,135,0.75,0.450633735062823,-0.193978885509985,0.6625,0.4875,53,39,27,41,"66_135_0.75"
"28",72,135,0.75,0.529365049853657,-0.296020506948255,0.7125,0.5125,57,41,23,39,"72_135_0.75"
"29",78,135,0.75,0.572903057932727,-0.0653328159687928,0.6375,0.4125,51,33,29,47,"78_135_0.75"
"30",84,135,0.75,0.606439179405138,0.0821008767049985,0.5875,0.35,47,28,33,52,"84_135_0.75"
"31",90,135,0.75,0.587107290651255,0.230846867382413,0.525,0.3,42,24,38,56,"90_135_0.75"
"32",72,150,0.75,0.840028787135261,-0.294353046712557,0.7625,0.45,61,36,19,44,"72_150_0.75"
"33",78,150,0.75,0.67488090316745,-0.116321738586155,0.675,0.4125,54,33,26,47,"78_150_0.75"
"34",84,150,0.75,0.47744569179023,-0.113061499040041,0.6375,0.45,51,36,29,44,"84_150_0.75"
"35",90,150,0.75,0.539187978016965,-0.016246885872683,0.6125,0.4,49,32,31,48,"90_150_0.75"
"36",78,165,0.75,0.339584318877513,-0.390910872436327,0.7125,0.5875,57,47,23,33,"78_165_0.75"
"37",84,165,0.75,0.435041685020009,-0.343182189365079,0.7125,0.55,57,44,23,36,"84_165_0.75"
